BWTID,TOTALVOLTAGE,TOTALCURRENT,SOC,MAXVOLTAGE,MAXVOLTAGEBOXNUM,MAXVOLTAGEBATTERYNUM,MINVOLTAGE,MINVOLTAGEBOXNUM,MINVOLTAGEBATTERYNUM,ABVOLTAGE,NORMALVOLTAGE,MAXTEMPERATURE,MAXTEMPERATUREBOXNUM,MAXTEMPERATUREBATTERYNUM,MINTEMPERATURE,MINTEMPERATUREBOXNUM,MINTEMPERATUREBATTERYNUM,ABTEMPERATURE,NORMALTEMPERATURE,RECEIVETIME,TIME_DIFF,YEAR,MONTH,DAY,HOUR
10001737,547.6,110.9,62,3.268,3,16,3.249,2,4,0.019,3.259,32,1,1,27,3,1,5,28,2015/5/5 21:30:24,0.0003587963,2015,5,5,21
10001737,547,68.9,62,3.262,3,16,3.243,7,13,0.019,3.255,32,1,1,27,3,1,5,28,2015/5/5 21:30:55,0.0003587963,2015,5,5,21
10001737,550.7,16.3,62,3.283,3,16,3.273,7,13,0.01,3.277,32,1,1,27,3,1,5,28,2015/5/5 21:31:26,0.0003587963,2015,5,5,21
10001737,548.4,95.5,62,3.272,3,16,3.253,7,9,0.019,3.264,32,1,1,27,3,1,5,28,2015/5/5 21:31:58,0.0003703704,2015,5,5,21
10001737,543,120.4,62,3.239,9,5,3.216,7,13,0.023,3.232,32,1,1,27,3,1,5,28,2015/5/5 21:32:29,0.0003587963,2015,5,5,21
10001737,555,-51,62,3.314,3,21,3.297,7,9,0.017,3.303,32,1,1,27,3,1,5,28,2015/5/5 21:33:00,0.0003587963,2015,5,5,21
10001737,545.1,97.1,62,3.252,3,16,3.23,2,4,0.022,3.244,32,1,1,27,3,1,5,28,2015/5/5 21:33:30,0.0003472222,2015,5,5,21
10001737,544.6,107.3,62,3.248,9,2,3.225,7,13,0.023,3.241,32,1,1,27,3,1,5,28,2015/5/5 21:34:01,0.0003587963,2015,5,5,21
10001737,550,19.5,62,3.279,3,21,3.268,7,9,0.011,3.273,32,1,1,27,4,1,5,28,2015/5/5 21:34:32,0.0003587963,2015,5,5,21
10001737,551.2,-2.1,62,3.285,5,4,3.275,7,13,0.01,3.28,32,1,1,27,4,1,5,28,2015/5/5 21:35:03,0.0003587963,2015,5,5,21
